Date,Description,Amount
2026-04-01,Opening Deposit from Owner,5000.00
2026-04-02,STARBUCKS COFFEE #4421,-6.75
2026-04-03,SHELL GAS STATION,-45.20
2026-04-04,COSTCO WHOLESALE,-187.43
2026-04-05,CLIENT INVOICE #1001 - ACME CORP,2500.00
2026-04-06,VERIZON WIRELESS BILL,-89.99
2026-04-07,COMCAST INTERNET,-79.99
2026-04-08,STAPLES OFFICE SUPPLIES,-52.18
2026-04-10,UBER EATS LUNCH,-22.40
2026-04-12,GOOGLE WORKSPACE,-12.00
2026-04-12,ADOBE CREATIVE CLOUD,-54.99
2026-04-15,RENT - APRIL,-1200.00
2026-04-15,CLIENT INVOICE #1002 - WIDGETS LLC,1800.00
2026-04-16,DELTA AIRLINES - SF TRIP,-345.00
2026-04-17,HILTON HOTEL SF,-289.00
2026-04-18,LYFT,-18.55
2026-04-19,FACEBOOK ADS,-150.00
2026-04-20,GOOGLE ADS,-200.00
2026-04-22,MONTHLY BANK SERVICE FEE,-15.00
2026-04-23,REFUND - STAPLES,12.00
2026-04-25,LEGAL FEES - SMITH & ASSOC,-450.00
2026-04-28,CLIENT INVOICE #1003 - BIG BOX INC,3200.00
2026-04-30,POWER COMPANY ELECTRIC BILL,-145.50
